编号,适用技能,分类,层级,关键词,适用题材,指令,核心摘要,详细展开
R-001,webnovel-write,节奏控制,chapter,黄金三章,全部,前三章必须完成：主角登场、核心冲突、世界观钩子、主角目标。,开篇三章决定留存，必须快速建立期待感。,第一章：主角+世界+困境；第二章：金手指/转折+小高潮；第三章：目标+钩子。
R-002,webnovel-write,节奏控制,scene,压抑-爆发,全部,先让主角承受压力/屈辱/限制，再通过能力/智谋反转。,爽点的本质是情绪落差，压抑越深爆发越爽。,压抑要合理（规则限制、信息不对称、实力差距），爆发要有代价或准备。
R-003,webnovel-write,节奏控制,scene,微反转,悬疑/推理/权谋,每章结尾或场景结尾设置一个小反转，保持阅读黏性。,微反转让读者不断重新评估局势。,常见：身份揭示、信息反转、盟友变敌人、计划失败转成功。
R-004,webnovel-write,节奏控制,chapter,章末钩子,全部,每章结尾必须留下一个让读者想点下一章的钩子。,钩子是连载留存的核心。,类型：危机降临、悬念未解、新人物登场、约定即将到期。
R-005,webnovel-write,节奏控制,arc,小高潮节奏,全部,每5-10章安排一个小高潮，每30章左右一个大高潮。,高潮分布决定阅读疲劳曲线。,小高潮解决一个阶段性目标，大高潮改变势力格局或主角命运。
R-006,webnovel-write,爽点设计,scene,信息差打脸,都市/玄幻/系统,主角掌握关键信息，反派不知，导致反派自取其辱。,信息差打脸是最稳的爽点之一。,注意：信息差要前期铺垫，不能突兀；打脸后要有围观者反应。
R-007,webnovel-write,爽点设计,scene,实力碾压,玄幻/科幻/洪荒,主角以绝对实力击败对手，突出升级成果。,实力碾压适合大高潮和关键转折点。,避免连续使用导致疲劳；碾压前要展示反派的嚣张。
R-008,webnovel-write,爽点设计,scene,智谋取胜,权谋/悬疑/无限,主角通过布局、推理、规则利用击败强敌。,智谋取胜的爽点在于「原来如此」的恍然大悟。,关键：所有线索必须提前埋设，解谜过程要有层次。
R-009,webnovel-write,爽点设计,arc,收获盘点,全部,主角在一段时间冒险后获得资源、能力、盟友，进行收获展示。,收获盘点满足读者的积累感和成就感。,要有具体数值/物品/关系，避免空泛。
R-010,webnovel-write,节奏控制,chapter,节奏换挡,全部,连续紧张章节后插入日常/休整/感情章节，让读者喘息。,节奏换挡防止阅读疲劳。,休整章节也要有信息推进或关系发展。
R-011,webnovel-write,爽点设计,scene,期待兑现,全部,前面铺垫的期待（复仇、约定、比赛）在本章兑现。,期待兑现是订阅转化的关键。,兑现要超出读者预期一点点，不能完全平铺直叙。
R-012,webnovel-write,爽点设计,scene,情感爆发,古言/都市/玄幻,角色之间的情感冲突或情感确认达到高潮。,情感爆发需要足够的情绪积累。,常见：误会解除、生死告白、牺牲与守护。
