编号,适用技能,分类,层级,关键词,适用题材,指令,核心摘要,详细展开
N-001,webnovel-init,命名,entity,角色名,玄幻,玄幻角色名多用古风、意境、五行/剑/道相关字。,名字要符合世界观调性。,示例：萧炎、韩立、叶凡；避免过于现代或西化的名字混用。
N-002,webnovel-init,命名,entity,角色名,都市,都市角色名贴近现实，可用常见姓氏+单双字名。,名字要有辨识度但不过于奇特。,示例：李默、苏晚晴、顾言；避免生僻字过多。
N-003,webnovel-init,命名,entity,角色名,科幻,科幻角色名可中西结合，体现未来感或代号文化。,名字可暗示出身、职业、改造程度。,示例：林舰、K-7、艾琳娜·陈；避免纯英文名突兀。
N-004,webnovel-init,命名,entity,势力名,玄幻/仙侠,势力名多用宗、门、阁、山、宫、殿等后缀。,名字要体现势力性质和格调。,示例：云岚宗、青云门、掩月宗；避免过于直白或土气。
N-005,webnovel-init,命名,entity,势力名,科幻/未来,势力名可包含公司、联邦、军团、议会等组织形式。,名字体现政治体制或商业属性。,示例：蓝星联邦、黑曜集团、第七舰队；避免与现实政治撞名。
N-006,webnovel-init,命名,entity,功法/技能名,玄幻,功法名多用「诀」「经」「典」「术」「掌」「剑」等后缀。,名字要有意境和等级感。,示例：焚诀、大荒囚天指、青元剑诀；避免中二过度。
N-007,webnovel-init,命名,entity,道具/法宝名,玄幻,法宝名可结合材料、功效、传说。,名字要让人一眼看出类型或用途。,示例：玄重尺、掌天瓶、山河社稷图；避免名字与功效无关。
N-008,webnovel-init,命名,entity,地名,全部,地名要服务于氛围和世界规则。,地名是读者进入世界的第一印象。,示例：魔兽山脉、黑角域、帝都；避免纯随机拼凑。
N-009,webnovel-init,命名,entity,系统名,系统流,系统名可体现功能或性格。,系统名影响读者对金手指的期待。,示例：最强签到系统、反派自救系统；避免过于俗气。
N-010,webnovel-init,命名,entity,伏笔代号,全部,伏笔代号要唯一、可追踪、暗示层级。,统一编号方便前后文索引。,示例：S-001（短期）、M-005（中期）、L-003（长期）。
