编号,适用技能,分类,层级,关键词,适用题材,指令,核心摘要,详细展开
W-001,webnovel-write,技法,paragraph,展示而非讲述,全部,用动作、对话、细节展示情绪和性格，而不是直接叙述。,展示让读者自己感受，讲述让读者被动接受。,反面：「他很生气」；正面：「他攥紧拳头，指节发白」。
W-002,webnovel-write,技法,paragraph,控制信息差,全部,决定读者知道多少、主角知道多少、配角知道多少。,信息差是悬念和爽点的基础。,常见模式：读者全知、读者与主角同知、读者比主角知道更多。
W-003,webnovel-write,技法,chapter,POV稳定,全部,同一章内尽量保持单一视角，避免头跳。,POV混乱会让读者出戏。,需要切换视角时，用空行或分节明确过渡。
W-004,webnovel-write,技法,paragraph,节奏短句,战斗/紧张,紧张场景用短句、断句加快节奏。,句式影响阅读速度。,长句适合舒缓描写，短句适合冲突和高潮。
W-005,webnovel-write,技法,paragraph,伏笔埋设,全部,伏笔要自然融入叙事，回收时要有迹可循。,伏笔是长期一致性的工具。,技巧：重复出现的物品、不经意的对话、反常现象。
W-006,webnovel-write,技法,scene, Chekhov's gun,全部,前面出现的元素后面必须用到，否则不要写。,契诃夫之枪强调叙事经济。,每个重要设定、物品、关系都应在后续发挥作用。
W-007,webnovel-write,技法,paragraph,对比反差,全部,通过前后对比强化人物成长和情绪冲击。,反差让变化可见。,常见：实力反差、态度反差、环境反差。
W-008,webnovel-write,技法,chapter,情绪曲线,全部,每章都要有情绪起伏，避免平铺直叙。,情绪曲线维持阅读兴趣。,常见：安心→紧张→释放，或压抑→爆发。
W-009,webnovel-write,技法,paragraph,独特嗓音,全部,每个主要角色应有独特的说话方式和思维模式。,独特嗓音让角色立体。,技巧：口头禅、用词习惯、句式长短、幽默/严肃程度。
W-010,webnovel-write,技法,arc,三幕结构,全部,整体遵循三幕结构：建置→对抗→高潮/结局。,三幕结构是长故事的骨架。,第一幕占20-25%，第二幕占50%，第三幕占25-30%。
