编号,适用技能,分类,层级,关键词,适用题材,指令,核心摘要,详细展开
C-001,webnovel-write,人设,archetype,天选之子,玄幻/仙侠,主角天赋异禀或命运特殊，成长速度快于常人。,天选之子人设适合热血升级流。,注意：不能过于顺利，要设置心性考验和代价。
C-002,webnovel-write,人设,archetype,废柴逆袭,玄幻/都市,主角起点低，通过金手指或努力逆袭。,废柴逆袭的核心是「被打压→崛起」的情绪曲线。,前期打压要足够，崛起过程要有层次。
C-003,webnovel-write,人设,archetype,冷面天才,全部,主角实力强大但性格冷淡，用实力和行动说话。,冷面天才适合装逼打脸场景。,注意：冷面不等于无情绪，要给内心戏留出空间。
C-004,webnovel-write,人设,archetype,痞帅无赖,都市/异能,主角表面不正经，关键时刻靠谱。,痞帅人设增加亲和力和喜剧效果。,注意：无赖行为不能越过道德底线。
C-005,webnovel-write,人设,archetype,圣母型,全部,主角善良、重情义，愿意为弱者出头。,圣母型主角容易引发情感共鸣。,避免圣母到不切实际，要有原则和底线。
C-006,webnovel-write,人设,archetype,幕后黑手,权谋/悬疑,主角隐藏身份操纵局势，布局深远。,幕后黑手人设适合智谋型作品。,注意：布局要提前埋设，不能临时开挂。
C-007,webnovel-write,人设,archetype,复仇驱动,全部,主角因血仇/背叛走上变强之路。,复仇是最强动机之一，推动力足。,注意：复仇不能成为唯一动机，要逐步转化为更高目标。
C-008,webnovel-write,关系,dynamic,师徒,全部,师父引导主角成长，可能含背叛或牺牲。,师徒关系是情感和成长的双重纽带。,经典变体：严师、损友型师父、反派师父。
C-009,webnovel-write,关系,dynamic,宿敌,全部,与主角实力相当、理念对立的对手。,宿敌是长期张力的来源。,宿敌要有自己的信念，不能纯坏。
C-010,webnovel-write,关系,dynamic,欢喜冤家,古言/都市,男女主角互相斗嘴、互相吸引。,欢喜冤家提供轻松情感和戏剧冲突。,注意：斗嘴要有来有回，不能一方过于强势。
C-011,webnovel-write,关系,dynamic,忠诚追随者,全部,死心塌地跟随主角的配角。,追随者衬托主角魅力，提供助力。,避免追随者毫无个性；可设置成长线。
C-012,webnovel-write,关系,dynamic,背叛者,全部,曾信任的人背叛主角，制造重大转折。,背叛是强烈的剧情催化剂。,背叛动机要充分铺垫，不能太突然。
C-013,webnovel-write,关系,dynamic,亦敌亦友,全部,与主角时合作时对抗的角色。,亦敌亦友增加关系复杂度和真实感。,合作与对抗的切换要基于利益或理念。
