编号,适用技能,分类,层级,关键词,适用题材,指令,核心摘要,详细展开
S-001,webnovel-write,场景,scene,战斗场景,玄幻/科幻/无限,战斗要写清：双方状态、攻防节奏、环境利用、心理变化、胜负转折。,好的战斗场景不只是招式堆砌，而是信息博弈。,步骤：铺垫→交锋→逆转→结果→战后影响。
S-002,webnovel-write,场景,scene,对话场景,全部,对话要推动剧情、揭示人物、暗藏机锋。,对话是信息传递和人物塑造的核心。,技巧：潜台词、话里有话、打断与停顿、动作穿插。
S-003,webnovel-write,场景,scene,内心独白,全部,通过内心独白展示主角决策过程和情绪变化。,内心独白让读者共情主角。,注意：不宜过长，避免打断叙事节奏。
S-004,webnovel-write,场景,scene,环境描写,全部,环境描写服务于氛围和情绪，不要纯写景。,环境是情绪的放大器。,技巧：以动写静、感官细节、天气/光线隐喻。
S-005,webnovel-write,场景,scene,群像场景,全部,多角色同时出场时，要清晰定位每个人位置和作用。,群像场景容易混乱，需要焦点人物。,技巧：以主角视角带动，分批介绍，突出关键动作。
S-006,webnovel-write,场景,scene,悬疑氛围,悬疑/规则怪谈,通过信息不对称、感官异常、规则威胁制造紧张感。,悬疑氛围来自读者知道有危险但不知道具体是什么。,技巧：延迟揭示、反常细节、倒计时、主角的有限视角。
S-007,webnovel-write,场景,scene,感情互动,古言/都市/玄幻,感情戏要有张力，避免直白告白。,好的感情戏在「说与不说」之间。,技巧：眼神、距离、共同经历、危机中的选择。
S-008,webnovel-write,场景,scene,势力谈判,权谋/商战/洪荒,谈判要写清各方筹码、底线、试探、让步。,谈判是智力博弈的外化。,技巧：先亮底牌者输、信息差、第三方介入、最后一刻反转。
S-009,webnovel-write,场景,scene,升级突破,玄幻/科幻,突破场景要写清瓶颈、积蓄、爆发、蜕变。,突破是升级流的核心爽点。,技巧：内外压力叠加、异象、代价、突破后的新能力展示。
S-010,webnovel-write,场景,scene,回忆插叙,全部,用回忆补充人物动机或关键信息。,回忆要服务于当下剧情，不能成为注水。,技巧：由当下触发、简短有力、情绪对应。
