词,类型,上限,说明
忽然,副词,2,AI常见副词限频
竟然,副词,2,AI常见副词限频
不禁,副词,2,AI常见副词限频
赫然,副词,2,AI常见副词限频
蓦然,副词,2,AI常见副词限频
陡然,副词,2,AI常见副词限频
蓦地,副词,2,AI常见副词限频
突然,副词,4,AI节奏标记词(常见词放宽到4)
猛地,副词,4,AI节奏标记词(常见词放宽到4)
深吸一口气,动作,1,AI最爱的动作描写(溺水场景可放过1次)
心跳如擂鼓,动作,0,陈词滥调(完全禁止)
心跳快得像要炸开,动作,0,陈词滥调(完全禁止)
嘴角微微上扬,动作,0,AI专属表情(完全禁止)
嘴角勾起一抹弧度,动作,0,AI专属表情(完全禁止)
嘴角勾起一抹,动作,0,AI专属表情(完全禁止)
像被定格的照片,明喻,0,AI明喻模板(完全禁止)
像时间凝固了,明喻,0,AI明喻模板(完全禁止)
瞳孔一缩,动作,0,AI最爱(完全禁止)
瞳孔骤缩,动作,0,AI最爱(完全禁止)
后背一阵发凉,动作,1,AI标记词(恐惧场景可放过1次)
后背发凉,动作,1,AI标记词(恐惧场景可放过1次)
缓缓开口,动作,1,AI高频动作(可放过1次)
眼中闪过一丝,动作,1,AI高频动作(可放过1次)
系统提示音,套路,0,AI网文套路(完全禁止)
脑海中响起声音,套路,0,AI网文套路(完全禁止)
仿佛,情态,1,oh-story一级禁用词(限1次)
犹如,情态,0,oh-story一级禁用词(完全禁止)
宛若,情态,0,oh-story一级禁用词(完全禁止)
如同,情态,1,oh-story一级禁用词(限1次)
一丝,情态,1,oh-story一级禁用词(限1次)
一抹,情态,1,oh-story一级禁用词(限1次)
些许,情态,1,oh-story一级禁用词(限1次)
几分,情态,1,oh-story一级禁用词(限1次)
隐约,情态,1,oh-story一级禁用词(限1次)
缓缓,动作,1,oh-story一级禁用词(限1次)
微微,动作,1,oh-story一级禁用词(限1次)
轻轻,动作,1,oh-story一级禁用词(限1次)
淡淡,动作,1,oh-story一级禁用词(限1次)
缓缓说道,动作,0,AI高频动作(完全禁止)
眉头微皱,动作,1,AI高频动作(限1次)
眉头一皱,动作,1,AI高频动作(限1次)
眉头紧锁,动作,0,AI高频动作(完全禁止)
眉眼低垂,动作,0,oh-story一级禁用词(完全禁止)
