编号,适用技能,分类,层级,关键词,适用题材,指令,核心摘要,详细展开
T-001,webnovel-write,桥段,scene,退婚流,玄幻/都市,主角被未婚妻/势力羞辱退婚，后续打脸。,经典复仇爽点，核心是被轻视后的反转。,注意：退婚理由要合理，不能为爽而爽；打脸要有足够准备。
T-002,webnovel-write,桥段,scene,战神归来,都市/兵王,主角隐藏身份回归，保护家人，打脸昔日仇敌。,身份差+保护欲+复仇的复合爽点。,毒点：家人反复被绑架、反派明知不敌还硬上。
T-003,webnovel-write,桥段,scene,签到开局,系统/修仙,主角通过签到系统获得初始资源，逐步成长。,签到系统的爽点是稳定的小惊喜和积累感。,要避免签到奖励过快贬值。
T-004,webnovel-write,桥段,scene,秘境夺宝,玄幻/无限,主角进入秘境/副本争夺宝物，以弱胜强或虎口夺食。,秘境是展示能力、获得资源、结仇/结盟的经典场景。,注意：秘境规则要明确，宝物获取要有代价。
T-005,webnovel-write,桥段,scene,宗门大比,玄幻/修仙,主角参加宗门/学院比赛，一路逆袭。,大比是集中展示升级成果的舞台。,避免比赛流程重复；每场对手要有区分度。
T-006,webnovel-write,桥段,scene,拍卖会,玄幻/都市,主角在拍卖会中用计谋/财力获得关键物品。,拍卖会是信息差和财力展示的场合。,常见套路：恶意竞价、暗中截杀、身份暴露。
T-007,webnovel-write,桥段,scene,英雄救美,全部,主角在关键时刻救助重要角色，建立羁绊。,经典关系推进桥段。,注意：被救者不能是纯花瓶；救人要有合理代价。
T-008,webnovel-write,桥段,scene,身份暴露,全部,主角隐藏的身份/能力被当众揭穿，引发震惊。,身份暴露的爽点来自周围人的反应。,暴露时机要选择在最有戏剧张力的时候。
T-009,webnovel-write,桥段,scene,误会与解除,古言/都市/玄幻,主角和重要角色因误会疏远，最终真相大白。,情感线的核心冲突来源。,误会不能太久，否则读者会厌烦。
T-010,webnovel-write,桥段,scene,生死逃亡,全部,主角被强敌追杀，在逃亡中突破/反杀。,生死逃亡是压缩节奏、制造紧张的好方法。,注意：反杀要有伏笔，不能纯靠运气。
T-011,webnovel-write,桥段,scene,势力收编,全部,主角收服小弟/势力/盟友，扩大基本盘。,势力收编体现主角的成长和格局。,收服过程要有考验或利益绑定。
T-012,webnovel-write,桥段,scene,传承觉醒,玄幻/科幻,主角获得前辈传承/血脉觉醒，实力暴涨。,传承觉醒适合作为大高潮或卷末转折。,传承要有代价或限制，不能一步到位。
