编号,适用技能,分类,层级,关键词,适用题材,指令,核心摘要,详细展开
P-001,webnovel-init,金手指,system,系统面板,系统流,系统提供属性面板、任务、奖励，主角通过完成任务成长。,系统面板是最常见的金手指形式。,注意：系统任务要有选择空间，奖励要有边际递减。
P-002,webnovel-init,金手指,item,随身老爷爷,玄幻,主角体内/物品中有一位前辈灵魂指导。,随身老爷爷提供知识、经验和情感羁绊。,毒点：老爷爷过于万能；可设置老爷爷沉睡或记忆残缺。
P-003,webnovel-init,金手指,item,神秘道具,玄幻/科幻/悬疑,主角获得一件有特殊能力的道具，推动剧情。,神秘道具是经典金手指，便于设置限制。,注意：道具能力要明确边界，避免无敌。
P-004,webnovel-init,金手指,trait,特殊体质,玄幻/仙侠,主角拥有罕见的修炼体质，带来优势和麻烦。,特殊体质提供成长优势和剧情冲突。,注意：体质要有副作用或被觊觎的风险。
P-005,webnovel-init,金手指,trait,记忆觉醒,全部,主角拥有前世/未来/他人的记忆。,记忆觉醒提供先知优势和知识储备。,注意：记忆不能过于完整，要有限制和代价。
P-006,webnovel-init,金手指,system,签到奖励,系统流/修仙,主角在特定地点/时间签到获得奖励。,签到奖励提供稳定爽点和探索动力。,注意：奖励要有层次，避免早期就拿到终极奖励。
P-007,webnovel-init,金手指,trait,双穿/异界知识,历史/种田/西幻,主角带着现代/异界知识在异世界发展。,知识差是核心爽点。,注意：技术应用要有合理过程，不能一蹴而就。
P-008,webnovel-init,设定,rule,力量体系边界,玄幻/科幻,明确力量等级、破坏力、限制条件。,清晰的边界是战斗力不崩的前提。,每级差距要量化（如：一拳碎山 vs 移山填海），避免模糊描述。
P-009,webnovel-init,设定,rule,升级代价,玄幻/仙侠,升级不是免费的，需要资源、时间、心性、风险。,代价让升级更有分量。,常见代价：资源稀缺、心魔、天劫、寿命、人情债。
P-010,webnovel-init,设定,rule,信息传播规则,全部,明确关键信息在角色间如何传播、谁已知谁未知。,信息传播规则是悬疑和权谋的基础。,常见：保密等级、情报组织、谣言传播速度。
