编号,适用技能,分类,层级,关键词,适用题材,指令,核心摘要,详细展开
G-001,全部,题材路由,genre_map,都市异能,现代/都市/异能,当用户给出genre包含"都市"+"异能"时，canonical_genre=都市异能,都市异能以现代都市为背景，主角觉醒超能力，核心爽点是隐藏身份、打脸权贵、能力升级。,代表人物：《大王饶命》《第一序列》。毒点：能力体系崩坏、政府势力降智、反派千篇一律。
G-002,全部,题材路由,genre_map,玄幻修仙,玄幻/修仙/仙侠,当用户给出genre包含"玄幻"或"修仙"时，canonical_genre=玄幻修仙,玄幻修仙以修炼升级为主线，核心爽点是境界突破、秘境夺宝、宗门争霸、逆天改命。,代表人物：《斗破苍穹》《凡人修仙传》。毒点：境界通货膨胀、升级过于顺利、配角无记忆点。
G-003,全部,题材路由,genre_map,科幻未来,科幻/星际/未来,当用户给出genre包含"科幻"或"星际"时，canonical_genre=科幻未来,科幻未来以科技、宇宙、文明冲突为核心，爽点来自技术代差、星际战争、文明存续。,代表人物：《三体》《基地》。毒点：科学设定硬伤、文明行为幼稚、科技树崩坏。
G-004,全部,题材路由,genre_map,悬疑脑洞,悬疑/推理/脑洞,当用户给出genre包含"悬疑"或"脑洞"时，canonical_genre=悬疑脑洞,悬疑脑洞以谜题、反转、信息差为核心，爽点来自解谜过程、层层反转、真相揭露。,代表人物：《诡秘之主》《十日终焉》。毒点：伏笔收不回来、解释过于牵强、主角开天眼。
G-005,全部,题材路由,genre_map,古言权谋,古言/权谋/宫斗,当用户给出genre包含"古言"或"权谋"时，canonical_genre=古言权谋,古言权谋以古代为背景，核心爽点是情感纠葛、权谋博弈、身份反转。,代表人物：《知否知否》《琅琊榜》。毒点：历史人物降智、现代价值观乱入、权谋过于简单。
G-006,全部,题材路由,genre_map,系统流,系统/签到/任务,当用户给出genre包含"系统"时，canonical_genre=系统流,系统流以系统发布任务、奖励为核心，爽点来自任务完成、奖励收割、能力快速成长。,代表人物：《全职高手》《我有一座冒险屋》。毒点：系统过于万能、任务无逻辑、奖励通货膨胀。
G-007,全部,题材路由,genre_map,无限流,无限/副本/诸天,当用户给出genre包含"无限"或"诸天"时，canonical_genre=无限流,无限流以穿越副本、完成任务为核心，爽点来自副本攻略、能力组合、团队博弈。,代表人物：《无限恐怖》《惊悚乐园》。毒点：副本同质化、主角光环过重、队友工具人。
G-008,全部,题材路由,genre_map,末日生存,末日/丧尸/废土,当用户给出genre包含"末日"或"废土"时，canonical_genre=末日生存,末日生存以文明崩溃、资源争夺为核心，爽点来自生存压力、势力建设、人性考验。,代表人物：《狩魔手记》《末日乐园》。毒点：丧尸无威胁、主角资源无限、社会秩序瞬间崩溃无合理性。
G-009,全部,题材路由,genre_map,历史架空,历史/架空/争霸,当用户给出genre包含"历史"或"争霸"时，canonical_genre=历史架空,历史架空以改变历史走向、争霸天下为核心，爽点来自先知优势、势力发展、名臣名将。,代表人物：《庆余年》《唐砖》。毒点：历史知识错误、科技树跳跃、历史人物脸谱化。
G-010,全部,题材路由,genre_map,西幻冒险,西幻/魔法/冒险,当用户给出genre包含"西幻"或"魔法"时，canonical_genre=西幻冒险,西幻冒险以魔法、种族、冒险为核心，爽点来自职业进阶、地下城探索、种族冲突。,代表人物：《盘龙》《亵渎》。毒点：魔法体系崩坏、种族设定刻板、主线拖沓。
G-011,全部,题材路由,genre_map,体育竞技,体育/竞技/冠军,当用户给出genre包含"体育"或"竞技"时，canonical_genre=体育竞技,体育竞技以比赛、训练、成长为核心，爽点来自技战术突破、关键比赛、逆转取胜。,代表人物：《棋魂》《足球小将》。毒点：比赛规则错误、对手降智、训练过程灌水。
G-012,全部,题材路由,genre_map,职场商战,职场/商战/创业,当用户给出genre包含"职场"或"商战"时，canonical_genre=职场商战,职场商战以商业博弈、职业成长为核心，爽点来自项目逆袭、资源整合、对手打脸。,代表人物：《大江东去》《浮沉》。毒点：商业逻辑错误、主角开挂无代价、职场规则悬浮。
G-013,全部,题材路由,genre_map,规则怪谈,规则怪谈/诡异,当用户给出genre包含"规则"或"怪谈"时，canonical_genre=规则怪谈,规则怪谈以诡异规则、生存博弈为核心，爽点来自解读规则、利用规则反杀、规则背后的真相。,代表人物：《规则怪谈：我能完美利用规则》。毒点：规则自相矛盾无解释、主角纯靠运气、恐怖氛围崩坏。
G-014,全部,题材路由,genre_map,种田文,种田/基建/经营,当用户给出genre包含"种田"或"基建"时，canonical_genre=种田文,种田文以发展势力、建设经营为核心，爽点来自资源积累、技术进步、势力扩张。,代表人物：《放开那个女巫》《临高启明》。毒点：发展速度离谱、技术细节错误、缺乏冲突。
G-015,全部,题材路由,genre_map,洪荒封神,洪荒/封神/神话,当用户给出genre包含"洪荒"或"封神"时，canonical_genre=洪荒封神,洪荒封神以神话传说、圣人博弈为核心，爽点来自逆天改命、量劫布局、法宝争夺。,代表人物：《佛本是道》《洪荒元符录》。毒点：神话设定混乱、圣人行为无逻辑、法宝无敌无解。
